station_id,station_name,latitude,longitude,empty_slots,free_bikes,timestamp,station_uid,bars,museums,restaurants,ratingbars,ratingmuseums,ratingrestaurants,pricebars,pricerestaurants,popularitybars,popularitymuseums,popularityrestaurants
25b9117c7543fb5fbb32dc2ff13e0d99,Tondelierlaan,51.066051,3.7155223,3,0,2024-04-18 00:29:31.268000+00:00,28489,36.0,5.0,38.0,7.8500000000000005,6.5,7.953333333333333,2.0,2.0,0.6672925132438355,0.5675098752561893,0.9921985284435554
4fb2d710c4c0bcbfd820658a7cf3582b,Bombaystraat,51.0768428,3.7286531,3,1,2024-04-18 00:29:30.475000+00:00,28490,19.0,0.0,23.0,7.625,0.0,7.859999999999999,2.0,2.0,0.5899746425760057,0.0,0.7289714959092445
2459061a75c4d843bac38e5962b579e4,De Waterspiegel,51.0858467,3.7272912,2,1,2024-04-18 00:29:31.168000+00:00,28491,11.0,0.0,15.0,0.0,0.0,6.671428571428572,2.0,1.0,0.6553807070825266,0.0,0.8234024512619761
0f6728e92437a8e0bd6be2a5df846d1e,Visserij - Tweebruggenstraat,51.0489453,3.7378373,3,1,2024-04-18 00:29:30.455000+00:00,28494,31.0,7.0,31.0,8.179166666666667,0.0,8.135714285714286,2.0,2.0,0.995755675855968,0.9945996354842599,0.9966259874970231
cd32c020839c22b3edbe6be8b23d268c,Gebroeders Van Eyckstraat,51.0532448,3.7336292,0,3,2024-04-18 00:29:30.482000+00:00,28493,50.0,15.0,50.0,8.458,7.3,8.558,2.0,2.0,0.9973716571282684,0.6500891565431994,0.9974723421909241
e5cfc96474e073b8409dfadb940aa9ed,Zalmstraat 71,51.0471478,3.7440942,2,2,2024-04-18 00:29:30.464000+00:00,28495,48.0,4.0,49.0,7.883333333333333,0.0,7.722222222222222,2.0,1.5,0.7796023658064379,0.9854716720209349,0.9303354750406002
7e50d19a9f3bd5105a2f384d85194519,Clarissenstraat,51.0440489,3.7360865,3,0,2024-04-18 00:29:30.468000+00:00,28496,50.0,11.0,50.0,7.924489795918368,7.8,7.876595744680851,2.0,2.0,0.9911151415867071,0.9933315426674894,0.9961929025806863
802a950e251aac934c7c0e382fbea282,Frederik Burvenichstraat 184,51.0406115,3.7557693,3,0,2024-04-18 00:29:31.319000+00:00,12768,30.0,2.0,50.0,7.966666666666666,0.0,7.071428571428571,2.0,2.0,0.8600199207676403,0.9854716720209349,0.7781057773134445
63b7edd173f2c591d31d6c353c47bc9e,Hendrik Waelputstraat14,51.0431988,3.7359775,3,0,2024-04-18 00:29:30.473000+00:00,28497,50.0,10.0,50.0,7.964583333333334,7.8,7.872727272727272,2.0,2.0,0.9902270067868009,0.9933315426674894,0.9960221687977363
1db0822ee66df4367df7cd46b9192aa9,Tuinwijklaan-Voskeslaan,51.0317333,3.707246,5,1,2024-04-18 00:29:31.185000+00:00,28502,29.0,0.0,50.0,5.866666666666666,0.0,7.5625,2.0,1.0,0.9364799212973798,0.0,0.8045749739378337
57c9a1470ab221967af26469f843acae,Rerum-Novarumplein,51.0232117,3.7203362,3,0,2024-04-18 00:29:31.186000+00:00,28503,14.0,0.0,28.0,5.8,0.0,7.013333333333334,2.0,1.0,0.8152145873667638,0.0,0.8388194125088579
4b4315cfa207008c49fd231b5f8dd61d,Blok E artevelde,51.0419757,3.7243206,2,1,2024-04-18 00:29:31.333000+00:00,23906,50.0,18.0,50.0,7.99,7.95,8.214,2.0,2.0,0.9843683913792737,0.8576976711351114,0.9967672808118632
2a2ea60ba5d2b374589dcfab27a2160e,Zwijnaardsesteenweg 316d,51.0292757,3.7222556,2,2,2024-04-18 00:29:30.903000+00:00,13217,24.0,8.0,40.0,7.333333333333333,7.9,7.1695652173913045,2.0,1.0,0.7974267599940429,0.7439157252373962,0.8505411048790839
bbe7a2ab620ae3320d04dedddcb9345d,Steenakker 78,51.0228408,3.7227056,3,0,2024-04-18 00:29:31.038000+00:00,28504,18.0,0.0,29.0,5.4,0.0,6.766666666666667,2.0,1.5,0.7877037990482877,0.0,0.8336988537374682
d7e96d6450b9e19aefcd10b6bc1b5134,Adolf Baeyensstraat 186,51.0530727,3.7551516,2,1,2024-04-18 00:29:30.369000+00:00,13248,35.0,3.0,50.0,7.383333333333333,5.3,7.321052631578947,2.0,1.5,0.7833746046718498,0.8093304328092533,0.8033923898474565
c0a7097988f9176aa6ce60305b082284,Station Dampoort,51.0566701,3.7401091,20,3,2024-04-18 00:29:31.376000+00:00,17178,50.0,9.0,50.0,7.845454545454545,7.5,7.923809523809524,2.0,2.0,0.9478404858023247,0.529115162861945,0.9953405101802012
17811174d4c7ed6b666c826fefd30903,Krommenelleboog,51.049723,3.7140122,3,0,2024-04-18 00:29:30.732000+00:00,28522,50.0,13.0,50.0,8.304,8.2,8.522,2.0,2.0,0.9968037678446057,0.6565334482196171,0.9979366210667405
de5ac9fc0737dbe60a2fda6017880118,Pieter Colpaertsteeg 52,51.0541799,3.7063884,3,0,2024-04-18 00:29:31.292000+00:00,28541,50.0,5.0,50.0,7.685714285714286,0.0,8.035714285714286,2.0,2.0,0.7210584962661958,0.48543975916430865,0.9880758143097249
d92e0942624a23c106b3fad7ba3ec18a,Coupure rechts 912,51.056075,3.7090817,3,1,2024-04-18 00:29:30.745000+00:00,28554,47.0,9.0,50.0,7.805405405405406,0.0,8.25,2.0,2.0,0.9718362102696498,0.49301684644242566,0.9970169989149629
3f41a259ee828855d58f51842c4c1142,Engelstraat 77/79,51.0547317,3.7506187,0,4,2024-04-18 00:29:30.974000+00:00,16685,46.0,2.0,50.0,7.625,5.3,7.57391304347826,2.0,2.0,0.7801037113288459,0.7160912601323319,0.8151673829330042
6910652fda628790ce2c55f352706a9c,Tarbotstraat 14,51.0449617,3.7410694,3,0,2024-04-18 00:29:30.560000+00:00,28567,50.0,5.0,50.0,7.945454545454546,0.0,7.491428571428571,2.0,2.0,0.8388116715954301,0.9966119183881881,0.9641205880475714
f6812b632313589325d1140b64d1b2f4,Armand Heinsstraat 61,51.0271622,3.7313799,1,3,2024-04-18 00:29:31.034000+00:00,12144,18.0,1.0,28.0,5.4,0.0,7.038461538461538,2.0,1.0,0.6943096103522033,0.3785662617279748,0.8232370274237815
e44ad2d4e378455b8be0c43103bfb7bb,De Pintelaan 137,51.0279458,3.7249487,3,0,2024-04-18 00:29:30.360000+00:00,13228,19.0,3.0,32.0,7.550000000000001,0.0,7.055555555555555,2.0,1.0,0.7926917785389586,0.5850433305675524,0.864588980747377
b6444db9caf8058bc94fc207ebbea301,UGent Campus Dunant,51.0491181,3.7034175,7,9,2024-04-18 00:29:30.992000+00:00,12434,37.0,2.0,50.0,7.781818181818181,0.0,7.952173913043478,2.0,2.0,0.7008512089653852,0.6090967597812905,0.9093121170116256
adb778577785d1168ab93a67034668b5,Rozendaalken,51.0481605,3.7226288,3,0,2024-04-18 00:29:31.389000+00:00,28756,50.0,15.0,50.0,8.53,8.0,8.662,2.0,2.0,0.9975808990915473,0.8700073000659533,0.9978626364274621
bf64b71006b43dd162b7740c6e57a371,Amelia Earhartlaan Park Inside,51.0302737,3.6890922,2,1,2024-04-18 00:29:31.142000+00:00,28764,3.0,0.0,14.0,0.0,0.0,7.633333333333333,2.5,1.0,0.5920845477948216,0.0,0.7666398953258302
9ed458708a7e717d92a58ec43375d61e,Residence Du Sud,51.0415554,3.7356781,3,0,2024-04-18 00:29:31.203000+00:00,28815,50.0,13.0,50.0,7.925531914893617,7.8,7.865306122448979,2.0,2.0,0.9743244580133182,0.8703784864795864,0.994424451630747
3ad1c6be872e2c947e5da9e72893787d,Jules de Saint-Genoisstraat 112,51.0279846,3.7565222,1,1,2024-04-18 00:29:30.498000+00:00,28816,20.0,0.0,20.0,7.333333333333333,0.0,6.8125,2.0,1.0,0.760246072672939,0.0,0.8686957149011765
6e0bc745f53a2806d9499b8737557d11,Skate & Parkour,51.0492256,3.6875757,6,10,2024-04-18 00:29:30.675000+00:00,12179,18.0,0.0,13.0,6.92,0.0,7.4,1.0,1.5,0.8671427001113404,0.0,0.8605235304129524
e70ed60da01e0c5b3cfff1978212f92a,Frans Tavernierstraat,51.0486582,3.7207245,2,1,2024-04-18 00:29:30.680000+00:00,28826,50.0,17.0,50.0,8.51,7.699999999999999,8.692,2.0,2.0,0.9977269535987066,0.7877142271383064,0.9977295066272366
62f39a1526ab1e751dde2f508439439f,Nieuwbrugkaai 79,51.0548227,3.7335079,4,0,2024-04-18 00:29:31.346000+00:00,12115,50.0,15.0,50.0,8.464,7.3,8.422,2.0,2.0,0.9972318256281514,0.6500891565431994,0.997565900048933
