station_id,station_name,latitude,longitude,empty_slots,free_bikes,timestamp,station_uid,renting,returning,last_updated
fb07e35ebbc2e311fa433e5e929e5e23,Vlaanderenstraat 3,51.0511678,3.7289243,12,0,2024-04-18 00:29:30.434000+00:00,12013,1,1,1713366849
650d2175e33a916145247a356e72d7a4,Goedendagstraat,51.0830462,3.7281002,1,1,2024-04-18 00:29:30.495000+00:00,18458,1,1,1712827685
e43d661c281b9f3ab758adf5d1aaa6d3,rasphuisstraat 19,51.0545507,3.7117495,1,2,2024-04-18 00:29:31.016000+00:00,28170,1,1,1713387982
b2ea25d85b01372d388378f76ff342bb,Muinkkaai 1,51.047529,3.7289608,5,1,2024-04-18 00:29:30.939000+00:00,12046,1,1,1713382528
56ae05b2d0a5dbaa1b922a7cd4251c8c,Korenmarkt,51.0541922,3.7220109,21,9,2024-04-18 00:29:31.321000+00:00,12022,1,1,1713386576
4837fe40ddd7364168fc5766a060e6dc,BLOK B -Bertha De Vriese,51.0248082,3.7157704,6,0,2024-04-18 00:29:31.121000+00:00,28284,1,1,1711386355
9829170cd16ed6e9cda9cef83af4c6eb,Steendam 27/29,51.05723,3.7297606,16,0,2024-04-18 00:29:30.634000+00:00,16697,1,1,1713118155
10ff2e6c55afcbba5b973ce0b2655d98,St-John,51.0564071,3.7284633,2,1,2024-04-18 00:29:30.953000+00:00,22593,1,1,1713274430
91fdb96ef4f3943947534504ede62bae,Bij Sint-Jacobs 3F,51.0565567,3.7265888,1,1,2024-04-18 00:29:30.955000+00:00,22590,1,1,1713380296
231ee9c34523272a9d7971b2605178d3,Vrijdagsmarkt 36,51.0566856,3.7260831,10,2,2024-04-18 00:29:31.114000+00:00,13295,1,1,1713399083
078fb186eed47e641b13b45233963d9c,Stadhuis hoogpoort,51.0547416,3.725299,1,4,2024-04-18 00:29:31.204000+00:00,22588,1,1,1713369939
7e44262962a7ae7083b03d4d40be8120,Belfortstraat 18,51.0553011,3.726792,6,0,2024-04-18 00:29:31.208000+00:00,22589,1,1,1713117445
14473b2e08e9d3fa04ad2ff5ae86a936,Bij Sint-Jacobs 5,51.0566848,3.7268285,3,0,2024-04-18 00:29:31.307000+00:00,22591,1,1,1713308786
32d65b1576a27f221db7a9e1cd2f7067,Vrijdagsmarkt ,51.0573906,3.7252658,10,2,2024-04-18 00:29:31.315000+00:00,12026,1,1,1713387295
