station_id,fsq_id,name,popularity,rating
fedd9729d9183b05bb4a3bd9da7d7de1,5ba60d6212c8f0002c82173d,Industriemuseum,0.9983192562176882,7.5
fedd9729d9183b05bb4a3bd9da7d7de1,4d299c7cf7a9224bbb2b00a0,Huis van Alijn,0.9983378720507202,7.1
fedd9729d9183b05bb4a3bd9da7d7de1,4d9765d9744f37042e05d457,Flinxo,0.4134097823543178,
fedd9729d9183b05bb4a3bd9da7d7de1,50cc9b25e4b04f44de53bd3e,Modern Chinese Art Foundation vzw,0.3162218369040274,
fedd9729d9183b05bb4a3bd9da7d7de1,55aa741a498e079a2b987d39,Julien Reviszaal,0.47969012616215984,
fedd9729d9183b05bb4a3bd9da7d7de1,4dc672ded4c0ad9c0fa12a01,Martelmuseum,0.0245197115077761,
fedd9729d9183b05bb4a3bd9da7d7de1,5231a01e11d2cda44a62de84,Lakenhalle,0.9783923366593622,
fedd9729d9183b05bb4a3bd9da7d7de1,509a5de2e4b0742486dfbb94,Stadsarchief,0.5164670340191052,
fedd9729d9183b05bb4a3bd9da7d7de1,4f8bce20e4b029818c61a2d4,Lukas Art in Flanders VZW,0.18999319192391975,
fedd9729d9183b05bb4a3bd9da7d7de1,e76b19b30de343c1d2b436d7,Museum voor Industriële Archeologie en Textiel Miat,,
fedd9729d9183b05bb4a3bd9da7d7de1,84dea0d6964f4f6a52c0aa06,Industriemuseum Gent,,
fedd9729d9183b05bb4a3bd9da7d7de1,6103ab54926946d61003392b,"Stadsbestuur Gent, Departement Onderwijs en Opvoeding, de Wereld Van Kina de Tuin",,
fedd9729d9183b05bb4a3bd9da7d7de1,197eae68797d45481ea8233c,Gravensteen - Gerechtsmuseum en Wapenmuseum,,
fedd9729d9183b05bb4a3bd9da7d7de1,128fa2918cf64706ac851892,Museum van de Zusters van Liefde van Jezus en Maria,,
fedd9729d9183b05bb4a3bd9da7d7de1,5ff60033f188482cb9f75921,Ghent Altarpiece | Adoration of the Mystic Lamb,,
fedd9729d9183b05bb4a3bd9da7d7de1,9bd28614b7d94d9e6ed7fb30,Amuseevous,,
fedd9729d9183b05bb4a3bd9da7d7de1,f5c8cb645cae477866a0930b,Buren van de Abdij Vzw,,
c41d2c76618e7fa70fb587d1c2f0497d,4d299c7cf7a9224bbb2b00a0,Huis van Alijn,0.9983378720507202,7.1
c41d2c76618e7fa70fb587d1c2f0497d,4b731a48f964a520959b2de3,Museum Dr. Guislain,0.9960693998255431,6.5
c41d2c76618e7fa70fb587d1c2f0497d,4f8bce20e4b029818c61a2d4,Lukas Art in Flanders VZW,0.18999319192391975,
c41d2c76618e7fa70fb587d1c2f0497d,509a5de2e4b0742486dfbb94,Stadsarchief,0.5164670340191052,
c41d2c76618e7fa70fb587d1c2f0497d,4dc672ded4c0ad9c0fa12a01,Martelmuseum,0.0245197115077761,
c41d2c76618e7fa70fb587d1c2f0497d,51f514f7498ec93b5f030de9,De School van Toen,0.9915590494223773,
c41d2c76618e7fa70fb587d1c2f0497d,50cc9b25e4b04f44de53bd3e,Modern Chinese Art Foundation vzw,0.3162218369040274,
c41d2c76618e7fa70fb587d1c2f0497d,4d9765d9744f37042e05d457,Flinxo,0.4134097823543178,
c41d2c76618e7fa70fb587d1c2f0497d,128fa2918cf64706ac851892,Museum van de Zusters van Liefde van Jezus en Maria,,
c41d2c76618e7fa70fb587d1c2f0497d,6103ab54926946d61003392b,"Stadsbestuur Gent, Departement Onderwijs en Opvoeding, de Wereld Van Kina de Tuin",,
c41d2c76618e7fa70fb587d1c2f0497d,197eae68797d45481ea8233c,Gravensteen - Gerechtsmuseum en Wapenmuseum,,
c41d2c76618e7fa70fb587d1c2f0497d,9bd28614b7d94d9e6ed7fb30,Amuseevous,,
c41d2c76618e7fa70fb587d1c2f0497d,e76b19b30de343c1d2b436d7,Museum voor Industriële Archeologie en Textiel Miat,,
0af3043c5906684b3afc97f387c94430,b191d31bf941405c63c90fc1,Braem/Marc,0.4379348126715316,
0af3043c5906684b3afc97f387c94430,4f706485bb3d8e65c2888c47,Illuseum,0.9942477075931323,5.3
31578db5c5ecc8491f076cf2023ccc7d,b191d31bf941405c63c90fc1,Braem/Marc,0.4379348126715316,
31578db5c5ecc8491f076cf2023ccc7d,4f706485bb3d8e65c2888c47,Illuseum,0.9942477075931323,5.3
dfb4810ce36bce22c088da09bc37132d,4b731a48f964a520959b2de3,Museum Dr. Guislain,0.9960693998255431,6.5
1a3bb31080ba77d41404c93e0c0f0299,5ba60d6212c8f0002c82173d,Industriemuseum,0.9983192562176882,7.5
1a3bb31080ba77d41404c93e0c0f0299,b191d31bf941405c63c90fc1,Braem/Marc,0.4379348126715316,
1a3bb31080ba77d41404c93e0c0f0299,55aa741a498e079a2b987d39,Julien Reviszaal,0.47969012616215984,
1a3bb31080ba77d41404c93e0c0f0299,4f706485bb3d8e65c2888c47,Illuseum,0.9942477075931323,5.3
1a3bb31080ba77d41404c93e0c0f0299,f5c8cb645cae477866a0930b,Buren van de Abdij Vzw,,
1a3bb31080ba77d41404c93e0c0f0299,84dea0d6964f4f6a52c0aa06,Industriemuseum Gent,,
1a3bb31080ba77d41404c93e0c0f0299,e76b19b30de343c1d2b436d7,Museum voor Industriële Archeologie en Textiel Miat,,
aaa26c27fc316b71372ceb012d8890d7,5ae35644c97f28002c61fc61,De Werkplaats,0.9751345658787737,
aaa26c27fc316b71372ceb012d8890d7,4c4d7b4451c2c928a627d89c,Stadsarchief Zwarte Doos,0.995808778163096,
