station_id,ratingbars,ratingmuseums,ratingrestaurants,pricebars,pricerestaurants,popularitybars,popularitymuseums,popularityrestaurants
0169398b94b3eed7ace5cef57be40375,6.92,0.0,6.199999999999999,1.0,0.0,0.9572341127162095,0.0,0.8299829266217049
01a6766ca7d27d30daa6b6d3fd661680,8.236,8.0,8.54,2.0,2.0,0.9966024509073889,0.9916278140301075,0.9973465523477225
01b098a044c60e31c642865cf0ce1b3e,7.7976190476190474,0.0,8.308,2.0,2.0,0.931755260302534,0.49301684644242566,0.9969899261749251
039374c72295ea6698c3626d478b85d0,7.996,7.95,8.234,2.0,2.0,0.9844617364849051,0.8576976711351114,0.9963066187264643
039822fb9f6d2d7b9fc69d31d31ddae7,8.51,7.6499999999999995,8.666,2.0,2.0,0.9975733463821459,0.7248331666773044,0.9977217411654575
0546d825dfb50724ced5555d608abe99,8.324,7.3,8.476,2.0,2.0,0.9969215794736506,0.5906910197221454,0.9970191796268324
06238d9c770ffff83eb825f2750b8c28,7.625,0.0,8.033333333333333,2.0,1.5,0.6142423950411176,0.0,0.7425620649073912
07006d4c2648720f7ee0ee3baec5a1b0,7.695555555555556,7.949999999999999,8.283999999999999,2.0,2.0,0.9807754824160161,0.9033146820415718,0.995120364657575
0728885bea6c3898896362822e7f1591,7.831578947368421,0.0,8.11025641025641,2.0,2.0,0.7067194647150181,0.7365841896616527,0.9871865625598366
072b4ac29bec8affbb7440dc2cf64677,7.8578947368421055,7.8,7.543333333333333,2.0,2.0,0.8547711848179904,0.9964807210887249,0.9213258728166288
07778ce00e2fd874c3c70a88af7bf3fd,7.5,0.0,7.885714285714286,2.0,2.0,0.6101494585451992,0.0,0.7800568989868076
078fb186eed47e641b13b45233963d9c,8.476,7.3,8.658,2.0,2.0,0.9974392060081272,0.6271575025191816,0.9976664255473056
0837c7e59c8a9b0e26ea6b114e6fff3c,0.0,6.5,7.95,2.0,2.0,0.5262660539398195,0.9960693998255431,0.7505646802686353
0858f39570fc54992ae282ddb6107b9c,8.9,0.0,7.54,2.0,2.0,0.6413110389370443,0.0,0.7754655098002863
0af3043c5906684b3afc97f387c94430,7.533333333333332,5.3,7.639130434782608,2.0,2.0,0.7630712021421125,0.7160912601323319,0.7934645129034317
0baa632a28ce8448d8823328c5c84d32,7.82,0.0,7.914285714285714,2.0,1.5,0.8170055519120425,0.0,0.8354737369704812
0c07c4116c86821583827c3b1ce46dfc,8.266666666666667,0.0,7.19375,2.0,1.0,0.8021804631765117,0.9854716720209349,0.7724451630746973
0c40c3cc2c1f83daedae3d976fbca863,8.47,7.6499999999999995,8.672,2.0,2.0,0.9976509478118417,0.692326021743293,0.9976723294257813
0cc9f42765b9b45dfb5aec45dbe3814f,8.336,7.3,8.474,2.0,2.0,0.9973635193498288,0.6271575025191816,0.9975359019637043
0d9b2c4835426455a696e34fda8d1bc7,6.5375,0.0,7.529411764705882,2.0,2.0,0.922796867303069,0.9744537582707486,0.8623008105865583
0ddca27a22db612b3fb0ac4cf3b2bd04,8.398,8.0,8.504,2.0,2.0,0.9974058038848583,0.99079124128855,0.9978098206497458
0f070dedd2e6f89d15f5180d5e77fbd3,7.671428571428571,0.0,7.840000000000001,2.0,2.0,0.7595254558219687,0.0,0.7674068676467459
0f5d523e22bc6d0a8cadcdfcb2d66105,8.052,0.0,7.92,2.0,2.0,0.9677698559339094,0.47969012616215984,0.9959223199701202
0f6728e92437a8e0bd6be2a5df846d1e,8.179166666666667,0.0,8.135714285714286,2.0,2.0,0.995755675855968,0.9945996354842599,0.9966259874970231
0f97857ffbd37f182df8e1f08ec4e63c,8.118518518518519,0.0,7.908695652173913,2.0,2.0,0.8952539199625557,0.9945996354842599,0.9950860583367018
