station_id,station_name,latitude,longitude,empty_slots,free_bikes,e_bikes,timestamp,station_uid,station_number,station_online_status
14ed5c206755518fd7c340db942f39f5,KAMLA NAGAR THANA,23.216004,77.395599,1,5,0,2024-04-17 00:16:33.660000+00:00,81,9829,True
fe3b8f18c4c54c5b4538da60b2d9f616,TULSI NAGAR,23.22866,77.415382,2,4,0,2024-04-17 00:16:33.663000+00:00,68,9816,True
52160696e52399f26aee0e76577b0f4a,MAYUR PARK LINK ROAD NO. 1,23.231905,77.411919,6,4,0,2024-04-17 00:16:33.658000+00:00,69,9817,True
d95902020acc4b3b87322340da878882,6 NO. MARKET,23.22874,77.428269,3,3,0,2024-04-17 00:16:33.661000+00:00,66,9813,True
810ed5606d0a76dfca389e97629028f0,POLYTECHNIC SQUARE,23.243884,77.397579,3,3,0,2024-04-17 00:16:33.659000+00:00,72,9820,True
0fdca81fc82ffaff8355c0babe4f4ad6,MANIT SQUARE,23.220998,77.403485,1,5,0,2024-04-17 00:16:33.656000+00:00,80,9828,True
f1bddd8117647c5aa5aeedbf6c6d3c4b,ROSHANPURA SQUARE,23.237019,77.40025,3,0,-1,2024-04-17 00:16:33.692000+00:00,71,9819,True
1dbe162b10748466d2df5bf0a546dc22,EKANT PARK,23.217803,77.419776,6,0,0,2024-04-17 00:16:33.693000+00:00,83,9831,True
57384fa269b7e58f8dc2c78a9ac27094,NUTAN COLLEGE,23.225072,77.42874,3,3,0,2024-04-17 00:16:33.663000+00:00,67,9814,True
f7ff67ee78f014ce547c5de411b1177b,RAJIV GANDHI CHOWK,23.215321,77.426918,1,5,0,2024-04-17 00:16:33.689000+00:00,84,9832,True
4359ff4048ca2d24336b025f89d57d73,SHAHPURA LAKE,23.202557,77.425174,1,5,0,2024-04-17 00:16:33.662000+00:00,85,9833,True
bbf4674f9e718e3118bae2a7daaf4a71,PandT SQUARE,23.226349,77.392242,0,6,0,2024-04-17 00:16:33.657000+00:00,78,9826,True
d342da57ea20cb48b0fd641fcf95a0e9,SHALIMAR ENCLAVE,23.211206,77.441297,1,3,0,2024-04-17 00:16:33.698000+00:00,110,9859,True
e0ae0ac8b1f8409db93ebeba565fa4c2,HOSHANGABAAD ROAD 5,23.182398,77.455573,6,0,0,2024-04-17 00:16:33.709000+00:00,59,9805,True
7a61ae2a318292a554f71ee55fce7d4d,HOSHANGABAAD ROAD 7,23.164564,77.467552,4,2,0,2024-04-17 00:16:33.696000+00:00,92,9840,True
6dc074a8b58a4b4f3771d1f77d318f21,ISBT,23.229068,77.442164,0,10,0,2024-04-17 00:16:33.710000+00:00,60,9806,True
fae2e8d207b4146e3eed65b5e509fb53,ASHOKA SOCIETY E7,23.206999,77.434549,2,2,0,2024-04-17 00:16:33.702000+00:00,111,9860,True
c091da46961b121af08e92b88f75ce7c,RACHNA NAGAR,23.24,77.435868,1,5,0,2024-04-17 00:16:33.706000+00:00,101,9850,True
37ec2dd142730066a35f2f3048f0312d,RM MARG 2,23.236955,77.433214,4,2,0,2024-04-17 00:16:33.699000+00:00,61,9808,True
b659a44c268d7fe9a738d04b6ae0a4c8,HOSHANGABAAD ROAD 9,23.183357,77.454548,4,2,0,2024-04-17 00:16:33.703000+00:00,95,9843,True
e2b71806569aded653318bef6aa7a98f,SAKET NAGAR AIIMS ROAD 1,23.210729,77.452595,0,4,0,2024-04-17 00:16:33.705000+00:00,109,9858,True
8e72027d4d6a1a5daf0903042107a974,BASANT KUNJ E8 ARERA COLONY,23.200578,77.434629,3,3,0,2024-04-17 00:16:33.700000+00:00,112,9861,True
e3e3292dc66bb87ec1413832032fcdde,AURA MALL,23.188674,77.4338,1,5,0,2024-04-17 00:16:33.718000+00:00,115,9864,True
e700a25ce21f64282f96d6d1b0042c57,VIP ROAD (KARBALA) ,23.259188,77.38237,4,6,0,2024-04-17 00:16:33.713000+00:00,199,9886,True
b9cb024c07cbf622bc4e00812710cd07,SOUTH AVENUE,23.187905,77.43635,0,6,0,2024-04-17 00:16:33.717000+00:00,116,9865,True
