category,station_id,fsq_id,name,popularity,price,rating
bars,fedd9729d9183b05bb4a3bd9da7d7de1,50c89ecae4b027054257d6f0,Ramen Noedelbar,0.9903224262281131,2.0,9.1
bars,fedd9729d9183b05bb4a3bd9da7d7de1,56f40805498e52376bf468f3,Café VenTura,0.9996489585771121,2.0,9.0
bars,fedd9729d9183b05bb4a3bd9da7d7de1,5593976d498e56ace6480f22,Le Bal Infernal - used book café,0.9982421334808417,2.0,9.2
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4c40def9520fa5939fc1c8ac,Café Afsnis,0.99877667382933,2.0,8.6
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4bb7d25fb35776b0783dc801,Trollekelder,0.9995026913175755,3.0,8.7
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4b57620af964a520ee3428e3,Esra,0.9972289002829606,2.0,8.4
bars,fedd9729d9183b05bb4a3bd9da7d7de1,56bafda1498e92bb59568b42,Hot Club Gent,0.9974097398038423,2.0,9.3
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4b6c81e3f964a5208b3f2ce3,Minor Swing,0.9974842031359701,2.0,8.0
bars,fedd9729d9183b05bb4a3bd9da7d7de1,5205204f11d2e1505118935d,Gitane,0.9935137118907303,2.0,8.5
bars,fedd9729d9183b05bb4a3bd9da7d7de1,5ac906e11ffed71dcde43fdb,Dok Brewing Company,0.9992633448928792,2.0,8.9
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4b22705cf964a520ce4624e3,Charlatan,0.9986889134736081,2.0,8.4
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4bad40bef964a5204d3e3be3,Mosquito Coast,0.9989654915643682,2.0,9.1
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4b2270daf964a520d54624e3,Bar des Amis,0.9996276833393614,2.0,8.4
bars,fedd9729d9183b05bb4a3bd9da7d7de1,52f7c4bf498e3bdf11d4dc5d,Uncle Babe's Burger Bar,0.9934312703444461,2.0,8.0
bars,fedd9729d9183b05bb4a3bd9da7d7de1,5bd4c2e3b5cb76002c6bf0a1,Amigo,0.9989974044209944,2.0,8.5
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4c83e46fd34ca1436a903980,'t Dreupelkot,0.9829425781333107,2.0,8.8
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4b084fcdf964a520bd0823e3,De Dulle Griet,0.9996755526243005,2.0,8.3
bars,fedd9729d9183b05bb4a3bd9da7d7de1,51defef8498e587e22f9c680,De Alchemist,0.99683796778929,2.0,9.0
bars,fedd9729d9183b05bb4a3bd9da7d7de1,582b482dc3fe29438428c70c,Giri,0.9960959938727315,,9.1
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4b8ee6c3f964a5209d3d33e3,Bar Popular,0.9980001276514265,2.0,8.1
bars,fedd9729d9183b05bb4a3bd9da7d7de1,521f0eb0bce6ed27f2d50d2c,BIDON Coffee & Bicycle,0.9980400187222093,2.0,8.7
bars,fedd9729d9183b05bb4a3bd9da7d7de1,58b2cbf5c0c89b4f32039b6c,In Choc Daskalidès,0.9983485096695955,,8.6
bars,fedd9729d9183b05bb4a3bd9da7d7de1,54fa0603498e3f5d852534e0,Missy Sippy Blues & Roots Club,0.9991170776333426,1.0,9.0
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4b7ef683f964a520b20c30e3,Het Waterhuis aan de Bierkant,0.9994681190562305,2.0,8.4
bars,fedd9729d9183b05bb4a3bd9da7d7de1,57ee9d75498e2f67ae6046d6,Win,0.9936307256983596,2.0,8.8
bars,fedd9729d9183b05bb4a3bd9da7d7de1,58ded7502980db386035d613,Bar Oswald,0.9968459460034466,2.0,8.8
bars,fedd9729d9183b05bb4a3bd9da7d7de1,5572154d498e7431ced18baf,De Buffel,0.9941040997383146,1.0,9.1
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4b1ab1f9f964a52098ef23e3,Limonada,0.9958619662574729,2.0,8.8
bars,fedd9729d9183b05bb4a3bd9da7d7de1,5a54c3ef002f4c47200c77c6,André Aperobar,0.996978916239389,3.0,7.8
bars,fedd9729d9183b05bb4a3bd9da7d7de1,57f4cfda498ecfcd14f0d6a8,Take Five Espressobar,0.9975054783737208,1.0,8.9
bars,fedd9729d9183b05bb4a3bd9da7d7de1,595ba164018cbb3847b59a9f,The Cobbler,0.9988059272812374,3.0,8.8
bars,fedd9729d9183b05bb4a3bd9da7d7de1,551434ef498ea95fcf75c76f,Mòris,0.9987500797821416,2.0,8.5
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4bbcf12e8a4fb713b6613c9d,Misterioso,0.995651873284684,2.0,7.6
bars,fedd9729d9183b05bb4a3bd9da7d7de1,5d31016e1938c70008e77ea0,Parole,0.9927690785694531,2.0,8.6
bars,fedd9729d9183b05bb4a3bd9da7d7de1,581de8e8936f0238d3a20b16,Koffeine,0.9968220113609769,1.0,8.4
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4b1ab2c2f964a520a9ef23e3,Barrazza,0.9989123034699913,2.0,8.0
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4b9a9f3ef964a5202ac735e3,Café Den Turk,0.9994096121524157,2.0,8.1
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4d9c84d0a1ec8cfa2cb3ec49,Café Folklore,0.993625406888922,2.0,7.8
bars,fedd9729d9183b05bb4a3bd9da7d7de1,4ddeada2b0fbc2c4ef08d10c,Gloria,0.9967688232666,1.0,7.7
